Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
"The lungs are clear, and without focal air space opacity",1.0,,,,0.0,,,,,,,,,
" The cardiomediastinal silhouette is normal in size and contour, and stable",1.0,0.0,,,,,,,,,,,,
 There is no pneumothorax large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
The heart size and pulmonary vascularity appear within normal limits,,,1.0,,,,,,,,,,,
 The lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
Cardiomediastinal silhouette is within normal limits of size and appearance,1.0,0.0,,,,,,,,,,,,
 The pulmonary vascularity is unremarkable,1.0,,,,,,,,,,,,,
 Lungs are expanded and clear of airspace disease,1.0,,,,0.0,,,,,,,,,
 Negative for pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Limited bone evaluation reveals no acute abnormality,1.0,,,,,,,,,,,,,
 There is incompletely evaluated lumbar levoscoliosis,,,,,,,,,,,,,,
The heart is within normal limits in size,1.0,,0.0,,,,,,,,,,,
 Surgical suture material projects over the right lung apex,1.0,,,,,,,,,,,,,
 The lungs are hyperlucent and hyperinflated compatible with emphysema,,,,,,,,,,,,,,
 There is left lower lobe airspace disease identified,,,,,1.0,,,,,,,,,
 There is moderate left pleural effusion and small right pleural effusion,,,,,,,,,,,1.0,,,
 No visualized pneumothorax,1.0,,,,,,,,,0.0,,,,
The cardiac contours are normal,1.0,0.0,0.0,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Thoracic spondylosis,1.0,,,,,,,,,,,,,
Lungs are overall hyperexpanded with flattening of the diaphragms,1.0,,,,,,,,,,,,,
 No focal consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
 Degenerative changes in the thoracic spine,,,,,,,,,,,,,,
Bilateral patchy pulmonary opacities noted,,,,,1.0,,,,,,,,,
 Interval improvement in left base consolidative opacity,,,,,1.0,,1.0,,,,,,,
 Pulmonary vascular congestion again noted,,,,,,-1.0,,,,,,,,
 Stable enlarged cardiomediastinal silhouette,,-1.0,,,,,,,,,,,,
 Stable left XXXX,1.0,,,,,,,,,,,,,
 No evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
 No large pleural effusions,1.0,,,,,,,,,,0.0,,,
Bilateral patchy pulmonary opacities noted,,,,,1.0,,,,,,,,,
 Interval improvement in left base consolidative opacity,,,,,1.0,,1.0,,,,,,,
 Pulmonary vascular congestion again noted,,,,,,-1.0,,,,,,,,
 Stable enlarged cardiomediastinal silhouette,,-1.0,,,,,,,,,,,,
 Stable left XXXX,1.0,,,,,,,,,,,,,
 No evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
 No large pleural effusions,1.0,,,,,,,,,,0.0,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Negative for pneumoperitoneum,1.0,,,,,,,,,,,,,
 Bony thorax and soft tissue grossly unremarkable,1.0,,,,,,,,,,,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Negative for pneumoperitoneum,1.0,,,,,,,,,,,,,
 Bony thorax and soft tissue grossly unremarkable,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 Mild blunting of right costophrenic XXXX,,,,,,,,,,,,,,
 The lungs are otherwise grossly clear,1.0,,,,,,,,,,,,,
Cardiac and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Left axillary surgical clips,1.0,,,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
The heart is normal in size and contour,1.0,0.0,0.0,,,,,,,,,,,
" The lungs are clear, without evidence of infiltrate",1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
The heart size and cardiomediastinal silhouette are normal,1.0,0.0,0.0,,,,,,,,,,,
 There is hyperexpansion of the lungs with flattening of the hemidiaphragms,,,,,,,,,,,,,,
" There is no focal airspace opacity, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 There multilevel degenerative changes of thoracic spine,,,,,,,,,,,,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardio mediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
 Visualized osseous structures of the thorax are without acute abnormality,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 XXXX XXXX opacities in right mid lung,,,,,1.0,,,,,,,,,
 The lungs are otherwise grossly clear,1.0,,,,,,,,,,,,,
Lungs are clear,1.0,,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
The heart and lungs have XXXX XXXX in the interval,,,1.0,,,,,,,,,,,
 Both lungs are clear and expanded,1.0,,,,,,,,,,,,,
 Heart and mediastinum normal,1.0,0.0,,,,,,,,,,,,
Mild hyperexpansion of the lungs,,,,,,,,,,,,,,
 Numerous bilateral rib deformities,1.0,,,,,,,,,,,,,
 No focal airspace disease,1.0,,,,0.0,,,,,,,,,
 Heart size is normal,1.0,,0.0,,,,,,,,,,,
 No pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
" Large, flowing anterior endplate osteophytes of the thoracic spine",1.0,,,,,,,,,,,,,1.0
The cardiomediastinal silhouette is stable in appearance,,-1.0,,,,,,,,,,,,
" No interval change in the diffuse increased bilateral pulmonary interstitial markings, greatest in the peripheral aspect of the left lung and left lung base",,,,,1.0,,,,,,,,,
 These opacities appear slightly increased as compared to prior examination,,,,,1.0,,,,,,,,,
" Mild left-sided volume loss redemonstrated, unchanged",,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 The thoracic spine appears intact,1.0,,,,,,,,,,,,,
The trachea is midline,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
" The lungs are clear, without evidence of focal infiltrate or effusion",1.0,,,,0.0,,,,,,0.0,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
 The visualized bony structures reveal no acute abnormalities,1.0,,,,,,,,,,,,,
The heart and lungs have XXXX XXXX in the interval,,,1.0,,,,,,,,,,,
 Both lungs are clear and expanded,1.0,,,,,,,,,,,,,
 Heart and mediastinum normal,1.0,0.0,,,,,,,,,,,,
"The heart, pulmonary XXXX and mediastinum are within normal limits",1.0,0.0,0.0,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There is no focal air space opacity to suggest a pneumonia,1.0,,,,0.0,,,0.0,,,,,,
Stable cardiomegaly with vascular prominence without overt edema,,,1.0,,,-1.0,,,,,,,,
 No focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No large pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The XXXX are intact,1.0,,,,,,,,,,,,,
Stable cardiomegaly with vascular prominence without overt edema,,,1.0,,,-1.0,,,,,,,,
 No focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No large pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The XXXX are intact,1.0,,,,,,,,,,,,,
Stable cardiomegaly with vascular prominence without overt edema,,,1.0,,,-1.0,,,,,,,,
 No focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No large pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The XXXX are intact,1.0,,,,,,,,,,,,,
The cardiac and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are well-inflated and clear,1.0,,,,,,,,,,,,,
" There is an 8mm nodule in the left lower lobe, XXXX calcified granuloma",,,,1.0,,,,,,,,,,
 There is no pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
 Bony structures of the thorax are intact with minimal early degenerative change,,,,,,,,,,,,,,
"The heart, pulmonary XXXX and mediastinum are within normal limits",1.0,0.0,0.0,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There is no focal air space opacity to suggest a pneumonia,1.0,,,,0.0,,,0.0,,,,,,
 There are degenerative changes of the thoracic spine,,,,,,,,,,,,,,
 There is a calcified granuloma identified in the right suprahilar region,,,,,,,,,,,,,,
 The aorta is mildly tortuous and ectatic,1.0,,,,,,,,,,,,,
 There is asymmetric right apical smooth pleural thickening,,,,,,,,,,,,1.0,,
 There are severe degenerative changes of the XXXX,,,,,,,,,,,,,,
A XXXX XXXX lung volumes,1.0,,,,,,,,,,,,,
 Lungs are clear without focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 cardiomegaly,,,1.0,,,,,,,,,,,
 Degenerative changes in the spine,,,,,,,,,,,,,,
Heart size is normal and cardiomediastinal silhouette is normal,1.0,0.0,0.0,,,,,,,,,,,
 There are scattered calcified granulomas throughout both lung XXXX,,,,,,,,,,,,,,
 Lungs are clear bilaterally otherwise,1.0,,,,,,,,,,,,,
 No bony or soft tissue abnormalities,1.0,,,,,,,,,,,,,
The heart is normal size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
" There is no pleural effusion, pneumothorax, or focal airspace disease",1.0,,,,0.0,,,,,0.0,0.0,,,
 The XXXX are unremarkable,1.0,,,,,,,,,,,,,
There extremely low lung volumes,1.0,,,,,,,,,,,,,
 there is right basilar opacity,,,,,1.0,,,,,,,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
 There is no large pleural effusion,1.0,,,,,,,,,,0.0,,,
 Cardiac silhouette and mediastinal contours are within normal limits,,0.0,1.0,,,,,,,,,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Minimal right basilar subsegmental atelectasis noted,,,,,,,,,1.0,,,,,
 Cardio mediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
 Tortuosity of the thoracic aorta noted,1.0,,,,,,,,,,,,,
 Scattered calcified granulomas are seen without evidence of active granulomatous/tuberculous process,,,,,,,,,,,,,,0.0
 Visualized osseous structures of the thorax are without acute abnormality,1.0,,,,,,,,,,,,,
Lung lines remain low,1.0,,,,,,,,,,,,,1.0
" However, no focal infiltrates are identified",1.0,,,,0.0,,,,,,,,,
 Heart and pulmonary XXXX are normal,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
The tracheostomy tube tip is 5 cm above the carina,,,,,,,,,,,,,,1.0
" There are prominent diffuse bilateral interstitial opacities, stable from prior radiographs",,,,,1.0,,,,,,,,,
 There is no focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusion,1.0,,,,,,,,,,0.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
 There are mild degenerative changes of the spine,,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Mild scoliosis and degenerative changes of the thoracic spine noted,,,,,,,,,,,,,,
"The cardiac silhouette, mediastinum, and pulmonary vasculature are unremarkable",1.0,0.0,0.0,,,,,,,,,,,
 There is stable elevation of the left hemidiaphragm,,,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pleural fluid or pneumothorax is appreciated,1.0,,,,,,,,,0.0,0.0,,,
 Cholecystectomy clips are noted in the right upper quadrant,1.0,,,,,,,,,,,,,
Stable appearance of hiatal hernia,,,,,,,,,,,,,,
 Clear right lung XXXX,1.0,,,,,,,,,,,,,
In the left superior lower lobe there is a 1,1.0,,,,,,,,,,,,,
9 x 1,1.0,,,,,,,,,,,,,
"8 cm round area of density which has increased in size compared to prior chest radiograph and recommend a XXXX chest, abdomen and pelvis with contrast as this area is suspicious for potential malignancy",,,,,,,,,,,,,,
 Normal cardiac contour,1.0,0.0,0.0,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
Stable appearance of hiatal hernia,,,,,,,,,,,,,,
 Clear right lung XXXX,1.0,,,,,,,,,,,,,
In the left superior lower lobe there is a 1,1.0,,,,,,,,,,,,,
9 x 1,1.0,,,,,,,,,,,,,
"8 cm round area of density which has increased in size compared to prior chest radiograph and recommend a XXXX chest, abdomen and pelvis with contrast as this area is suspicious for potential malignancy",,,,,,,,,,,,,,
 Normal cardiac contour,1.0,0.0,0.0,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
Status post XXXX sternotomy and CABG,1.0,,,,,,,,,,,,,
 Heart size is normal,1.0,,0.0,,,,,,,,,,,
 Coronary vascular stent,1.0,,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 There are no focal air space consolidations,1.0,,,,,,0.0,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 The hilar and mediastinal contours are stable,,-1.0,,,,,,,,,,,,
 Calcified mediastinal lymph XXXX,,,,,,,,,,,,,,
 Normal pulmonary vascularity,1.0,,,,,,,,,,,,,
 Degenerative changes of the spine,,,,,,,,,,,,,,
Stable flattening of the posterior diaphragm and scattered chronic appearing irregular interstitial markings with no focal alveolar consolidation,,,,,1.0,,0.0,,,,,,,
" Stable cardiomediastinal silhouette with normal heart size and aortic ectasia/tortuosity, stable mediastinal contours",,-1.0,0.0,,,,,,,,,,,
" No definite pleural effusion seen, no typical findings of pulmonary edema",1.0,,,,,0.0,,,,,0.0,,,
 Following spine ossifications and marginal osteophytes again noted,1.0,,,,,,,,,,,,,
2 images,1.0,,,,,,,,,,,,,
 Heart size upper limits of normal,,,1.0,,,,,,,,,,,
 Mediastinal contours are maintained,,1.0,,,,,,,,,,,,
 The patient is mildly rotated,1.0,,,,,,,,,,,,,
 There is a small to moderate sized right apical pneumothorax which measures approximately 2,,,,,,,,,,1.0,,,,
0 cm,1.0,,,,,,,,,,,,,
 No focal airspace consolidation is seen,1.0,,,,,,0.0,,,,,,,
 Left chest is clear,1.0,,,,,,,,,,,,,
 No definite displaced bony injury is seen,1.0,,,,,,,,,,,,,
 Results called XXXX,1.0,,,,,,,,,,,,,
 XXXX XXXX p,1.0,,,,,,,,,,,,,
m,1.0,,,,,,,,,,,,,
" XXXX, XXXX",1.0,,,,,,,,,,,,,
The XXXX examination consists of frontal and lateral radiographs of the chest,1.0,,,,,,,,,,,,,
 The cardiomediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 Pulmonary vascularity is within normal limits,1.0,,,,,,,,,,,,,
" No focal consolidation, pleural effusion, or pneumothorax identified",1.0,,,,,,0.0,,,0.0,0.0,,,
 Deformity of the right clavicle related to remote XXXX is again seen,,,,,,,,,,,,,,
 Visualized upper abdomen grossly unremarkable,1.0,,,,,,,,,,,,,
Chest,1.0,,,,,,,,,,,,,
 Both lungs are clear and expanded with no pleural air collections or parenchymal consolidations,1.0,,,,,,0.0,,,,,,,
 Heart and mediastinum remain normal,1.0,0.0,,,,,,,,,,,,
 Lumbosacral spine,1.0,,,,,,,,,,,,,
" XXXX, disc spaces, and alignment are normal",1.0,,,,,,,,,,,,,
 Sacrum and sacroiliac joints are normal,1.0,,,,,,,,,,,,,
There are low volumes with bronchovascular crowding,1.0,,,,,,,,,,,,,
 No focal infiltrate or effusion,1.0,,,,0.0,,,,,,0.0,,,
 Heart and mediastinal contours within normal limits,,1.0,,,,,,,,,,,,
 No displaced fracture identified,,,,,,,,,,,,,1.0,
There are low volumes with bronchovascular crowding,1.0,,,,,,,,,,,,,
 No focal infiltrate or effusion,1.0,,,,0.0,,,,,,0.0,,,
 Heart and mediastinal contours within normal limits,,1.0,,,,,,,,,,,,
 No displaced fracture identified,,,,,,,,,,,,,1.0,
The heart is normal in size and contour,1.0,0.0,0.0,,,,,,,,,,,
" The lungs are clear, without evidence of infiltrate",1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
Sequelae of old granulomatous disease,,,,,,,,,,,,,,
 Lungs are clear without focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
The heart is upper limits of normal in size,,,1.0,,,,,,,,,,,
" The lungs are clear, without evidence of infiltrate",1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Bony thorax and soft tissues grossly unremarkable,1.0,,,,,,,,,,,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Bony thorax and soft tissues grossly unremarkable,1.0,,,,,,,,,,,,,
Lungs appear to be clear other than a calcified granuloma on left,,,,,,,,,,,,,,
 Heart is not enlarged,1.0,,,,,,,,,,,,,
 There are atherosclerotic changes of the aorta,,,,,,,,,,,,,,
 There is increased kyphosis of the thoracic spine and there are multiple XXXX deformities,,,,,,,,,,,,,,
 A stimulator is seen,1.0,,,,,,,,,,,,,
The heart size is stable,,,1.0,,,,,,,,,,,
 The aorta is ectatic and atherosclerotic but stable,,,,,,,,,,,,,,
 XXXX sternotomy XXXX are again noted,1.0,,,,,,,,,,,,,
 The scarring in the left lower lobe is again noted and unchanged from prior exam,,,,,1.0,,,,,,,,,
 There are mild bilateral prominent lung interstitial opacities consistent with emphysematous disease,,,,,1.0,,,,,,,,,
 The calcified granulomas are stable,,,,,,,,,,,,,,
Apparent scarring within the lingula,,,,,1.0,,,,,,,,,
 Lungs are otherwise clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
Apparent scarring within the lingula,,,,,1.0,,,,,,,,,
 Lungs are otherwise clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
Apparent scarring within the lingula,,,,,1.0,,,,,,,,,
 Lungs are otherwise clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
The cardiomediastinal silhouette and vasculature are within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
 The lungs are normally inflated and clear,1.0,,,,,,,,,,,,,
 Osseous structures are within normal limits for patient age,1.0,,,,,,,,,,,,,
